en,es
Select language,Seleccionar idioma
Vaccine Allocation Tool,Herramienta de asignación de vacunas
Home,Inicio 
Vaccine Stock Data,Datos de existencias
Distribution Network,Red de distribución
Proposed Distribution -- Adults,Distribución propuesta: adultos
Proposed Distribution -- Children,Distribución propuesta: pediátricos
Historic Data,Datos históricos
Model Documentation,Documentación
Honduras Vaccine Allocation Tool,Herramienta de asignación de vacunas en Honduras
Data Overview,Resumen de datos
"The vaccine allocation tool is an interactive tool that takes in data from multiple sources, optimizes for various supply and demand-side constraints and generates a recommended vaccine allocation per site. The final goal of this tool is to maximize vaccine coverage in priority population and minimize any vaccine wastage.","La herramienta de asignación de vacunas es una herramienta interactiva que toma datos de múltiples fuentes, optimiza las diversas limitaciones de la oferta y la demanda y genera una asignación de vacunas recomendada por centro. El objetivo final de esta herramienta es maximizar la cobertura vacunal en la población prioritaria y minimizar cualquier desperdicio de vacunas."
"This dashboard was developed in collaboration with xyz. It is intended to walk through data inputs and methodology for the vaccine allocation tool, and facilitate the collection of feedback from stakeholders.",Este cuadro de mando se ha desarrollado en colaboración con xyz. Su objetivo es mostrar los datos y la metodología de la herramienta de asignación de vacunas y facilitar la recopilación de comentarios de las partes interesadas.
This dashboard can be viewed in English or Spanish.,Este cuadro de mandos puede consultarse en inglés o español.
English,Inglés 
Spanish,Español
Edit the table to change stock input data,Editar la tabla para modificar los datos de entrada de existencias
Save,Guardar 
Reset,Restablecer
Vaccine stocks updated,Actualización de las existencias de vacunas
Vaccine stocks reset,Restablecimiento de las existencias de vacunas
Upload New Data,Cargar nuevos datos
Distribution Network: Maps of distribution centers and vaccination sites,Red de distribución: Mapas de centros de distribución y lugares de vacunación
SALMI Depot to Regional Distribution Network,Depósito SALMI en la red de distribución regional
Vaccination Sites,Centros de vacunación
Construct the Optimization Model,Construir el modelo de optimización
Allocation Duration,Asignación Duración
How many days of vaccine supply do you want to allocate? E.g. the next 30 days or the next 60 days,"¿Cuántos días de suministro de vacunas desea asignar? Por ejemplo, los próximos 30 días o los próximos 60 días."
Number of Days:,Número de días:
Run Model and View Proposed Distribution,Ejecutar el modelo y ver la distribución propuesta
The model may take a few minutes to run. The maps will display once the model is done running.,El modelo puede tardar unos minutos en ejecutarse. Los mapas se mostrarán una vez que el modelo haya terminado de ejecutarse.
Run Model,Modelo de ejecución
The model has finished generating outputs. You can view the model outputs below and download them.,El modelo ha terminado de generar resultados. Puede ver los resultados del modelo a continuación y descargarlos.
Vaccine Allocation proposed by the model,Asignación de vacunas propuesta por el modelo
Download,Descargar
The below map shows the allocation of vaccines from the distribution centers to the vaccination sites.,El siguiente mapa muestra la distribución de las vacunas desde los centros de distribución hasta los puntos de vacunación.
Proposed Allocation with District Filter,Asignación propuesta con filtro de distrito
"If you would like to look at one district at a time, use the filter below.","Si desea consultar los distritos de uno en uno, utilice el filtro siguiente."
Select the District:,Seleccione el Distrito:
Select the Date:,Seleccione la fecha:
Select the Month:,Seleccione el mes:
Select the Age:,Seleccione la edad:
Select the Dose:,Seleccione la dosis:
No file selected,Ningún fichero seleccionado
This page contains documentation of the methodology used in the vaccine allocation process.,Esta página contiene documentación sobre la metodología utilizada en el proceso de asignación de vacunas.
The model currently uses the following constraints to allocate vaccines. The constraints on the allocation models for child and adult doses are identical:,"Actualmente, el modelo utiliza las siguientes restricciones para asignar las vacunas. Las restricciones de los modelos de asignación de dosis para niños y adultos son idénticas:"
Eligible population served by vaccination site: a vaccination site cannot be given more vaccines than the number of people (either adults or children for the respective models) living in its catchment area who have not been vaccinated.,Población elegible atendida por el centro de vacunación: un centro de vacunación no puede recibir más vacunas que el número de personas (ya sean adultos o niños para los respectivos modelos) que viven en su zona de captación y que no han sido vacunadas.
"Vaccine administration capacity: a vaccination site cannot receive more vaccines than it can administer, which is calculated by multiplying the days until expiration by the average vaccination capacity per day. Average vaccination capacity per day was calculated using historical vaccination data for each site.","Capacidad de administración de vacunas: un centro de vacunación no puede recibir más vacunas de las que puede administrar, lo que se calcula multiplicando los días hasta la caducidad por la capacidad media de vacunación por día. La capacidad media de vacunación por día se calculó utilizando los datos históricos de vacunación de cada centro."
"Eligible population for each site was calculated using high resolution modeled population data from WorldPop in conjunction with SALMI-provided historical vaccination data. In order to ensure the optimization algorithm is able to calculate a solution for most time windows and in order to better reflect reality, sites with a minimum eligible population below a certain threshold had their minimum eligible populations increased.","La población elegible para cada centro se calculó utilizando datos de población modelados de alta resolución de WorldPop junto con datos históricos de vacunación proporcionados por SALMI. Con el fin de garantizar que el algoritmo de optimización pueda calcular una solución para la mayoría de las ventanas temporales y para reflejar mejor la realidad, se aumentó la población mínima elegible de los centros con una población mínima elegible inferior a un umbral determinado."
Batch size: the amount of vaccines distributed must be less than the number of vaccines available in each batch.,Tamaño del lote: la cantidad de vacunas distribuidas debe ser inferior al número de vacunas disponibles en cada lote.
Vaccine allocation should be distributed evenly across vaccination sites: all vaccination sites should receive vaccines for at least a certain percentage of the population they serve.,La asignación de vacunas debe distribuirse uniformemente entre los centros de vacunación: todos los centros de vacunación deben recibir vacunas para al menos un determinado porcentaje de la población a la que atienden.
Regional Warehouses to Municipalities,Almacenes regionales a los municipios
Please press the button below to run the vaccine allocation model.,Pulse el botón siguiente para ejecutar el modelo de asignación de vacunas.
Proposed Distribution,Distribución propuesta
